 Ученик	Школа	География	Информатика
Лиштаев Евгений	1	81	79
Будин Сергей	2	63	90
Христич Анна	6	62	69
Иванов Данила	7	63	74
Глотова Анастасия	4	50	66
Лещенко Владислав	1	60	50
Брусов Анатолий	1	61	47
Васильев Александр	4	39	69
Ермишин Роман	5	62	16
Моникашвили Эдуард	3	65	50
Круглов Никита	6	46	81
Титова Анастасия	4	72	78
Сенкевич Антон	4	48	63
Алиференко Матвей	6	59	69
Миронов Никита	6	48	65
Бычкова Анастасия	4	47	52
Толстов Дмитрий	3	67	26
Красавина Таисия	2	47	79
Тарасов Василий	2	58	48
Тюрин Никита	6	55	34
Перцев Антон	4	46	80
Мейстренко Евгения	1	93	71
Никандров Виктор	2	80	89
Голод Илья	2	73	80
Шакирзянова Анна	4	37	25
Иванов Евгений	1	56	73
Мерзлякова Ирина	7	61	81
Щербина Сергей	2	62	78
Борнякова Мария	5	44	68
Лухманова Галина	4	54	60
Козловский Павел	5	66	90
Иванова Елена	2	68	41
Александров Сергей	2	71	67
Федоров Кирилл	2	48	54
Малинина Алина	2	58	40
Потеряев Александр	4	49	57
Лобанова Мария	5	78	48
Карыгин Иван	4	47	67
Алексеев Владислав	1	62	89
Усик Денис	3	61	76
Сидоров Валерий	6	43	25
Кукасов Кирилл	2	52	40
Заводов Антон	4	58	62
Артемьев Михаил	2	72	56
Кутузова Кристина	6	69	70
Машкина Евгения	1	60	64
Талызин Андрей	1	58	68
Элоян Дмитрий	3	53	73
Негина Мария	5	68	44
Кузнецов Николай	2	68	92
Пильщиков Павел	5	49	73
Хлюев Алексей	1	71	56
Усманов Антон	4	77	63
Фомин Алексей	1	41	50
Мялин Николай	2	44	70
Васильев Адриан	6	55	44
Лобачев Владислав	1	61	32
Гусаров Григорий	2	51	45
Черняев Денис	3	67	60
Свинцов Кирилл	2	54	39
Буданов Олег	6	62	37
Жбанников Владислав	1	59	82
Ковалёв Руслан	2	81	66
Корчев Максим	5	75	59
Ефремцев Сергей	2	67	33
Казанчев Александр	4	71	54
Косенков Евгений	1	71	66
Мамочкин Дмитрий	3	68	49
Мамонтова Ксения	5	53	68
Гребенников Даниил	7	63	63
Волошин Леонид	1	53	68
Рыжкова Кристина	6	60	59
Черешнев Илья	7	74	50
Марская Екатерина	7	72	58
Зубарева Анастасия	4	68	70
Даншян Татьяна	1	55	37
Кравец Дарья	5	48	59
Вишневский Михаил	2	71	50
Порфирьев Александр	4	41	59
Иванов Александр	4	43	73
Капитонов Евгений	1	90	56
Сагитов Александр	4	66	80
Черников Вячеслав	6	77	77
Давыдов Евгений	1	53	58
Ткачев Владимир	2	64	75
Кромах Алексей	1	59	57
Сидоров Алексей	1	97	41
Егоров Максим	5	78	68
Комлева Ольга	2	57	63
Ласточкина Александра	3	44	52
Магершлехт Александр	4	55	56
Василенко Николай	2	58	86
Лапинкий Андрей	1	59	100
Марченкова Оксана	7	56	78
Полёвкин Артем	7	31	84
Ковбас Константин	4	46	56
Яновский Артем	7	74	73
Ерохин Дмитрий	3	66	71
Филиппов Кирилл	2	59	41
Григорьев Александр	4	56	61
Медякин Владимир	2	35	66
Соколов Кирилл	2	50	47
Костин Александр	4	62	59
Ионова Анна	4	55	69
Камашин Богдан	1	60	60
Нестеров Георгий	1	53	75
Ситченков Юрий	1	38	40
Мансурова Татьяна	1	62	73
Марашов Кирилл	2	48	36
Девятилов Константин	4	42	78
Криворучко Анна	4	71	83
Орлов Игорь	1	67	78
Протасов Алексей	1	66	68
Панфилов Алексей	1	51	51
Адильбаев Андрей	1	48	77
Мироночев Андрей	1	73	82
Рогов Степан	5	64	57
Пшенников Василий	2	57	80
Садыков Руслан	2	78	51
Хлопов Кирилл	2	63	87
Радченко Мария	5	50	71
Карабан Любовь	2	68	23
Симакова Елена	2	79	64
Палина Наталья	1	68	91
Пилин Арсений	1	73	65
Мабутина Дарья	5	59	66
Якуб Роман	5	47	58
Топоркова Анна	4	62	76
Рожин Максим	5	47	44
Михейкина Мария	5	64	59
Кузоватов Дмитрий	3	56	75
Егорова Ольга	2	52	81
Болотов Виталий	2	46	49
Дягилев Александр	4	29	58
Соловьев Владислав	1	69	68
Салахов Мамед	5	48	69
Ильин Александр	4	63	65
Телушкин Александр	4	73	62
Оприцын Сергей	2	72	63
Степанов Иван	7	49	65
Литвиненко Александр	4	57	82
Пестов Александр	4	21	67
Ефремов Дмитрий	3	72	51
Потанина Елена	2	57	57
Прохоров Павел	5	52	41
Менькова Валерия	6	38	49
Короблинский Александр	4	83	63
Герасимова Екатерина	7	46	72
Ильинский Игорь	1	62	44
